test_trial,precision,recall,f1,model
44,0.6049382716049383,0.5104166666666666,0.5536723163841808,ela_wo_poly_100p
45,0.5046728971962616,0.6666666666666666,0.5744680851063829,ela_wo_poly_100p
46,0.7101449275362319,0.7153284671532847,0.7127272727272728,ela_wo_poly_100p
47,0.770949720670391,0.9452054794520548,0.8492307692307691,ela_wo_poly_100p
48,0.496551724137931,0.782608695652174,0.6075949367088608,ela_wo_poly_100p
49,0.6402116402116402,0.9453125,0.7634069400630915,ela_wo_poly_100p
50,0.593939393939394,0.8909090909090909,0.7127272727272727,ela_wo_poly_100p
51,0.6089743589743589,0.8796296296296297,0.7196969696969697,ela_wo_poly_100p
52,0.6078431372549019,0.3263157894736842,0.4246575342465754,ela_wo_poly_100p
53,0.6948051948051948,0.856,0.7670250896057348,ela_wo_poly_100p
54,0.49411764705882355,0.4827586206896552,0.4883720930232558,ela_wo_poly_100p
55,0.6126126126126126,0.591304347826087,0.6017699115044247,ela_wo_poly_100p
56,0.6276595744680851,0.959349593495935,0.7588424437299035,ela_wo_poly_100p
57,0.7252747252747253,0.584070796460177,0.6470588235294117,ela_wo_poly_100p
58,0.43859649122807015,0.5434782608695652,0.48543689320388345,ela_wo_poly_100p
59,0.7380952380952381,0.36470588235294116,0.4881889763779527,ela_wo_poly_100p
60,0.7209302325581395,0.5794392523364486,0.6424870466321244,ela_wo_poly_100p
61,0.7445652173913043,0.958041958041958,0.8379204892966361,ela_wo_poly_100p
62,0.6287878787878788,0.7614678899082569,0.6887966804979253,ela_wo_poly_100p
63,0.6486486486486487,0.3076923076923077,0.41739130434782606,ela_wo_poly_100p
64,0.3333333333333333,0.012345679012345678,0.023809523809523808,ela_wo_poly_100p
65,0.6875,0.2857142857142857,0.4036697247706422,ela_wo_poly_100p
66,0.7254901960784313,0.6666666666666666,0.6948356807511736,ela_wo_poly_100p
67,0.5869565217391305,0.34177215189873417,0.43200000000000005,ela_wo_poly_100p
68,0.6410256410256411,0.984251968503937,0.7763975155279504,ela_wo_poly_100p
69,0.631578947368421,0.7659574468085106,0.6923076923076923,ela_wo_poly_100p
70,0.7696969696969697,0.9136690647482014,0.8355263157894737,ela_wo_poly_100p
71,0.6923076923076923,0.4931506849315068,0.576,ela_wo_poly_100p
72,0.5608108108108109,0.8058252427184466,0.6613545816733067,ela_wo_poly_100p
73,0.7318435754189944,0.9424460431654677,0.8238993710691824,ela_wo_poly_100p
74,0.5645161290322581,0.7,0.625,ela_wo_poly_100p
75,0.7283950617283951,0.9147286821705426,0.8109965635738832,ela_wo_poly_100p
76,0.7674418604651163,0.7557251908396947,0.7615384615384615,ela_wo_poly_100p
77,0.6595744680851063,0.9763779527559056,0.7873015873015873,ela_wo_poly_100p
78,0.4489795918367347,0.27848101265822783,0.34375,ela_wo_poly_100p
79,0.5111111111111111,0.2839506172839506,0.3650793650793651,ela_wo_poly_100p
80,0.6451612903225806,0.7874015748031497,0.7092198581560284,ela_wo_poly_100p
81,0.4666666666666667,0.15555555555555556,0.23333333333333334,ela_wo_poly_100p
82,0.6741573033707865,0.9022556390977443,0.7717041800643086,ela_wo_poly_100p
83,0.5849056603773585,0.5740740740740741,0.5794392523364486,ela_wo_poly_100p
84,0.8015873015873016,0.6601307189542484,0.7240143369175627,ela_wo_poly_100p
85,0.6197183098591549,0.42718446601941745,0.5057471264367815,ela_wo_poly_100p
86,0.5796178343949044,0.8272727272727273,0.6816479400749064,ela_wo_poly_100p
87,0.41935483870967744,0.17333333333333334,0.2452830188679245,ela_wo_poly_100p
88,0.631578947368421,0.5106382978723404,0.5647058823529411,ela_wo_poly_100p
89,0.7371428571428571,0.9485294117647058,0.8295819935691318,ela_wo_poly_100p
90,0.5824175824175825,0.6883116883116883,0.630952380952381,ela_wo_poly_100p
91,0.4782608695652174,0.12222222222222222,0.19469026548672566,ela_wo_poly_100p
92,0.6407766990291263,0.6055045871559633,0.6226415094339623,ela_wo_poly_100p
93,0.0,0.0,0.0,ela_wo_poly_100p
94,0.708994708994709,0.9571428571428572,0.8145896656534953,ela_wo_poly_100p
95,0.5520833333333334,0.9906542056074766,0.7090301003344481,ela_wo_poly_100p
96,0.5934959349593496,0.7448979591836735,0.6606334841628959,ela_wo_poly_100p
97,0.6410256410256411,0.3246753246753247,0.43103448275862066,ela_wo_poly_100p
98,0.6511627906976745,0.8682170542635659,0.7441860465116279,ela_wo_poly_100p
99,0.4421052631578947,0.4883720930232558,0.46408839779005523,ela_wo_poly_100p
